file,error
Data/Raw/Match_details/2345_match_details/2345_TTEMSINGLES-----------R128001100----------.json,'NoneType' object has no attribute 'get'
Data/Raw/Match_details/2603_match_details/2603_TTEMSINGLES-----------R32-000500----------.json,'NoneType' object has no attribute 'get'
