,eventId,documentCode,subEventName,subEventDescription,venueName,tableNumber,tableName,currentGameNumber,A_rawGameScores,B_rawGameScores,A_rawOverallScore,B_rawOverallScore,dnf,homeCompetitorId,homeCompetitorOrg,homePlayer,homeNestedGameScores,awayCompetitorId,awayCompetitorOrg,awayPlayer,awayNestedGameScores,bestOf,ttrReview,serverNext,actionType,duration (unreliable),EventName,EventStartDate,matchDate,calcNestedGameScores,calcNestedOverallScores,scoreConsistent,reconciledOverallScore,reconciledOverallScoreWinner,gameScoreConsistent,reconciledGameScore,calculatedGameScoreWinner,gameScoreFlags
9679,2480,TTEMSINGLES-----------R32-001200----------,Men Singles,Men's Singles - Round of 32 - Match 12,OMEGA Sport Center,T04,Table 4,6.0,"13-11,11-9,10-12,8-11,11-8,11-2","11-13,11-9,10-12,8-11,11-8,9-11",2-4,2-4,False,123386,IND,CHANDRA Jeet,"13,11,10,8,11,11,0",113689,FRA,ROBINOT Alexandre,"11,9,12,11,8,2,0",7.0,False,,OF,00:53:13,2021 ITTF Czech International Open,2021-08-21 00:00:00+00:00,2021-08-23 13:43:10+00:00,"13-11,11-9,10-12,8-11,11-8,11-2",4-2,False,2-4,away,False,"13-11,11-9,10-12,8-11,11-8,11-2",home,
11477,2346,TTEWSINGLES-----------R128001300----------,Women's Singles,Women's Singles - Round of 128 - Match 13,George R. Brown Convention Center,T08,Table 8,4.0,"3-11,0-11,0-11,0-11","11-8,11-5,11-5,11-7",4-0,4-0,False,107321,UKR,PESOTSKA Margaryta,"3,0,0,0,0,0,0",113908,EGY,HELMY Yousra,"11,11,11,11,0,0,0",7.0,False,,OF,00:28:45,2021 World Table Tennis Championships Finals,2021-11-23 00:00:00+00:00,2021-11-23 17:38:20+00:00,"3-11,0-11,0-11,0-11",0-4,False,4-0,home,False,"3-11,0-11,0-11,0-11",away,
11407,2346,TTEWSINGLES-----------R128000200----------,Women's Singles,Women's Singles - Round of 128 - Match 2,George R. Brown Convention Center,T02,Table 2,4.0,"11-5,11-0,11-0,11-0","11-9,12-10,6-11,9-11,7-11,11-6,5-11",3-4,3-4,False,120972,THA,PARANANG Orawan,"11,11,11,11,0,0,0",118786,SGP,LIN Ye,"5,0,0,0,0,0,0",7.0,False,,OF,01:01:34,2021 World Table Tennis Championships Finals,2021-11-23 00:00:00+00:00,2021-11-24 00:05:35+00:00,"11-5,11-0,11-0,11-0",4-0,False,3-4,away,False,"11-5,11-0,11-0,11-0",home,
3851,2479,TTEMSINGLES-----------R64-001400----------,Men's Singles,Men's Singles - Round of 64 - Match 14,Kisakallio Sports Institute,T06,Table 6,5.0,"11-8,7-11,5-11,11-9,0-11","8-11,11-7,11-5,11-9",3-1,3-1,False,145694,SWE,SUNDIN Isak Theodor Mikael,"11,7,5,11,0",135982,FIN,RASANEN Aleksi,"8,11,11,9,11",5.0,False,,OF,00:27:04,2021 ITTF Finlandia International Open,2021-12-02 00:00:00+00:00,2021-12-03 12:14:17+00:00,"11-8,7-11,5-11,11-9,0-11",2-3,False,3-1,home,False,"11-8,7-11,5-11,11-9,0-11",away,
12815,2539,TTEWSINGLES-----------RND4000800----------,Women's Singles,Women's Singles - Qualifying Round 4 - Match 8,Dom Sportova,T04,Table 4,4.0,"11-6,5-11,3-11,7-9","11-6,5-11,3-11,7-9",1-2,1-3,False,109453,SRB,TODOROVIC Andrea,"11,5,3,7,0",133814,KOR,KIM Nayeong,"6,11,11,9,0",5.0,False,,OF,00:32:26,WTT Contender Zagreb 2022,2022-06-13 00:00:00+00:00,2022-06-15 12:52:17+00:00,"11-6,5-11,3-11,7-9",1-3,False,1-3,away,True,"11-6,5-11,3-11,7-9",away,7-9:Invalid_Too_Low
18912,2615,TTEWSINGLES-----------CON2000200----------,Women's Singles,Women's Singles - CON2 - Match 2,Eastland Shopping Centre,T07, Table 7,3.0,"11-0,11-0,11-0","11-0,11-0,11-0",0-3,0-3,False,202502,PNG,AGARI Tammi,"11,11,11,0,0",109806,TGA,VI Eseta,"0,1,8,0,0",5.0,True,,OF,,ITTF-Oceania Senior Championships,2022-09-05 00:00:00+00:00,2022-09-05 00:00:00+00:00,"11-0,11-1,11-8",3-0,False,0-3,away,False,"11-0,11-0,11-0",home,
13271,2891,TTEWSINGLES-----------RND1001200----------,Women's Singles,Women's Singles - Qualifying Round 1 - Match 12,Pavilhao Desportivo Municipal de Vila Nova de Gaia,T04,Table 4,4.0,"3-11,11-7,11-3,11-3","11-3,7-11,3-11,3-11",1-3,1-3,False,131132,AUS,WU Jiamuwa,"3,11,11,11,0",145860,USA,DENG Zhen,"11,7,3,3,0",5.0,False,145860,OF,00:00:00,WTT Feeder Vila Nova de Gaia 2024,2024-11-23 00:00:00+00:00,2024-11-23 15:30:00+00:00,"3-11,11-7,11-3,11-3",3-1,False,1-3,away,False,"3-11,11-7,11-3,11-3",home,
16679,531,TTEMSINGLES-----------RND1000200----------,Men's Singles,Men's Singles - Preliminary Round 1 - Match 2,Sultan Qaboos Sport Complex,T01,Table 1,,,,,,False,131917,IND,Payas JAIN,,133850,SGP,CHUA Josh Shao Han,,5.0,,,,00:30:00,,,2022-02-27 20:00:00+00:00,,,False,,,False,,,
