,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
1,7397605,2867,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-05-26T12:30:00
2,7397241,2867,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-05-26T11:45:00
4,7395853,2867,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-05-25T21:00:00
5,7395709,2867,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-05-25T20:15:00
6,7395513,2867,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-05-25T19:30:00
7,7395343,2867,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-05-25T18:45:00
12,7394296,2867,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-05-25T15:00:00
14,7393800,2867,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-05-25T14:20:00
15,7393759,2867,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-05-25T15:00:00
16,7393445,2867,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-05-25T14:20:00
17,7393195,2867,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-05-25T13:40:00
18,7392621,2867,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-05-25T13:40:00
19,7392175,2867,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-05-25T13:00:00
20,7391915,2867,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-05-25T13:00:00
21,7382417,2867,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2024-05-24T20:55:00
22,7382248,2867,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2024-05-24T20:55:00
23,7382226,2867,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2024-05-24T20:20:00
24,7381821,2867,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2024-05-24T20:20:00
25,7381762,2867,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2024-05-24T19:45:00
