,iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,5774922,2860,TTEXTEAM--------------FNL-00200000--------,,Mixed Team,OFFICIAL,,,2023-12-10T19:30:00
1,5774677,2860,TTEXTEAM--------------FNL-00190000--------,,Mixed Team,OFFICIAL,,,2023-12-10T19:30:00
2,5773564,2860,TTEXTEAM--------------FNL-00170000--------,,Mixed Team,OFFICIAL,,,2023-12-10T13:00:00
3,5773487,2860,TTEXTEAM--------------FNL-00180000--------,,Mixed Team,OFFICIAL,,,2023-12-10T13:00:00
4,5772031,2860,TTEXTEAM--------------FNL-00230000--------,,Mixed Team,OFFICIAL,,,2023-12-09T19:30:00
5,5771990,2860,TTEXTEAM--------------FNL-00210000--------,,Mixed Team,OFFICIAL,,,2023-12-09T19:30:00
6,5770366,2860,TTEXTEAM--------------FNL-00240000--------,,Mixed Team,OFFICIAL,,,2023-12-09T13:00:00
7,5770082,2860,TTEXTEAM--------------FNL-00220000--------,,Mixed Team,OFFICIAL,,,2023-12-09T13:00:00
8,5768876,2860,TTEXTEAM--------------FNL-00130000--------,,Mixed Team,OFFICIAL,,,2023-12-08T13:00:00
9,5768814,2860,TTEXTEAM--------------FNL-00160000--------,,Mixed Team,OFFICIAL,,,2023-12-08T19:30:00
10,5768804,2860,TTEXTEAM--------------FNL-00150000--------,,Mixed Team,OFFICIAL,,,2023-12-08T19:30:00
11,5767636,2860,TTEXTEAM--------------FNL-00140000--------,,Mixed Team,OFFICIAL,,,2023-12-08T13:00:00
12,5766464,2860,TTEXTEAM--------------FNL-00110000--------,,Mixed Team,OFFICIAL,,,2023-12-07T19:00:00
13,5766424,2860,TTEXTEAM--------------FNL-00120000--------,,Mixed Team,OFFICIAL,,,2023-12-07T19:00:00
14,5765367,2860,TTEXTEAM--------------FNL-00100000--------,,Mixed Team,OFFICIAL,,,2023-12-07T17:00:00
15,5765280,2860,TTEXTEAM--------------FNL-00090000--------,,Mixed Team,OFFICIAL,,,2023-12-07T17:00:00
16,5764170,2860,TTEXTEAM--------------FNL-00080000--------,,Mixed Team,OFFICIAL,,,2023-12-07T12:00:00
17,5763832,2860,TTEXTEAM--------------FNL-00070000--------,,Mixed Team,OFFICIAL,,,2023-12-07T12:00:00
18,5762889,2860,TTEXTEAM--------------FNL-00050000--------,,Mixed Team,OFFICIAL,,,2023-12-07T10:00:00
19,5762590,2860,TTEXTEAM--------------FNL-00060000--------,,Mixed Team,OFFICIAL,,,2023-12-07T10:00:00
20,5761802,2860,TTEXTEAM--------------FNL-00010000--------,,Mixed Team,OFFICIAL,,,2023-12-06T19:30:00
21,5761535,2860,TTEXTEAM--------------FNL-00030000--------,,Mixed Team,OFFICIAL,,,2023-12-06T19:30:00
22,5760397,2860,TTEXTEAM--------------FNL-00020000--------,,Mixed Team,OFFICIAL,,,2023-12-06T13:00:00
23,5759968,2860,TTEXTEAM--------------FNL-00040000--------,,Mixed Team,OFFICIAL,,,2023-12-06T13:00:00
24,5759115,2860,TTEXTEAM--------------GP0300100000--------,,Mixed Team,OFFICIAL,,,2023-12-05T19:00:00
25,5758690,2860,TTEXTEAM--------------GP0100050000--------,,Mixed Team,OFFICIAL,,,2023-12-05T19:00:00
26,5758522,2860,TTEXTEAM--------------GP0100060000--------,,Mixed Team,OFFICIAL,,,2023-12-05T19:00:00
27,5758368,2860,TTEXTEAM--------------GP0300090000--------,,Mixed Team,OFFICIAL,,,2023-12-05T19:00:00
28,5757426,2860,TTEXTEAM--------------GP0400100000--------,,Mixed Team,OFFICIAL,,,2023-12-05T17:00:00
29,5756749,2860,TTEXTEAM--------------GP0200060000--------,,Mixed Team,OFFICIAL,,,2023-12-05T17:00:00
