,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
2,2383156,2589,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2022-11-06T15:45:00
3,2382801,2589,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2022-11-06T15:00:00
70,2380299,2589,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2022-11-05T19:15:00
71,2379496,2589,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2022-11-05T18:30:00
72,2378673,2589,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2022-11-05T17:45:00
73,2377508,2589,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2022-11-05T17:00:00
74,2371506,2589,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2022-11-05T12:00:00
75,2371301,2589,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2022-11-05T12:00:00
76,2370922,2589,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2022-11-05T11:20:00
77,2370559,2589,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2022-11-05T11:20:00
78,2370267,2589,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2022-11-05T10:40:00
79,2370012,2589,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2022-11-05T10:40:00
80,2369632,2589,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2022-11-05T10:00:00
81,2369489,2589,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2022-11-05T10:00:00
82,2364063,2589,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2022-11-04T19:00:00
83,2363204,2589,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2022-11-04T19:00:00
84,2362619,2589,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2022-11-04T18:20:00
85,2362300,2589,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2022-11-04T18:20:00
86,2361976,2589,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2022-11-04T17:40:00
87,2360865,2589,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2022-11-04T17:40:00
88,2360522,2589,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2022-11-04T17:00:00
89,2359825,2589,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2022-11-04T17:00:00
90,2355732,2589,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2022-11-04T14:35:00
91,2355519,2589,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2022-11-04T14:35:00
92,2354498,2589,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2022-11-04T13:55:00
93,2353796,2589,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2022-11-04T13:55:00
94,2352905,2589,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2022-11-04T13:15:00
95,2352518,2589,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2022-11-04T13:15:00
96,2352196,2589,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2022-11-04T12:35:00
97,2351628,2589,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2022-11-04T12:35:00
98,2343393,2589,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2022-11-03T20:20:00
99,2342986,2589,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2022-11-03T20:20:00
100,2342929,2589,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2022-11-03T20:20:00
101,2342393,2589,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2022-11-03T19:45:00
102,2342122,2589,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2022-11-03T20:20:00
103,2341255,2589,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2022-11-03T19:45:00
104,2341211,2589,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2022-11-03T19:45:00
105,2340733,2589,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2022-11-03T19:45:00
106,2340481,2589,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2022-11-03T19:10:00
107,2340279,2589,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2022-11-03T19:10:00
108,2339329,2589,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2022-11-03T19:10:00
109,2339054,2589,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2022-11-03T18:35:00
110,2338922,2589,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2022-11-03T19:10:00
111,2338701,2589,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2022-11-03T18:35:00
112,2338208,2589,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2022-11-03T18:35:00
113,2338015,2589,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2022-11-03T18:35:00
114,2336349,2589,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2022-11-03T16:20:00
115,2335568,2589,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2022-11-03T16:20:00
116,2335164,2589,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2022-11-03T15:45:00
117,2334838,2589,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2022-11-03T16:20:00
118,2334609,2589,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2022-11-03T16:20:00
