,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
2,3471369,2695,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2023-04-29T18:45:00
3,3470960,2695,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-04-29T18:00:00
4,3470710,2695,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2023-04-28T21:40:00
5,3470545,2695,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-04-28T21:00:00
6,3470312,2695,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2023-04-28T20:20:00
7,3470155,2695,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-04-28T19:40:00
9,3469711,2695,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2023-04-28T15:30:00
10,3469498,2695,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-04-28T14:50:00
11,3469295,2695,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2023-04-28T14:10:00
12,3469080,2695,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2023-04-28T13:30:00
13,3468877,2695,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2023-04-28T12:45:00
14,3468717,2695,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-04-28T12:10:00
15,3468548,2695,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2023-04-28T11:35:00
16,3468283,2695,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2023-04-28T11:00:00
17,3468049,2695,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2023-04-27T21:20:00
18,3467819,2695,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2023-04-27T20:45:00
19,3467647,2695,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2023-04-27T20:10:00
20,3467455,2695,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-04-27T19:35:00
21,3467306,2695,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2023-04-27T19:00:00
22,3467170,2695,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-04-27T15:50:00
23,3466977,2695,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2023-04-27T15:15:00
24,3466725,2695,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2023-04-27T14:40:00
25,3466575,2695,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2023-04-27T14:05:00
26,3466401,2695,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2023-04-27T13:30:00
29,3465933,2695,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-04-27T12:10:00
30,3465892,2695,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-04-27T12:45:00
31,3465803,2695,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2023-04-27T12:10:00
34,3465390,2695,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-04-27T11:35:00
35,3465052,2695,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2023-04-27T11:35:00
36,3464761,2695,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2023-04-27T11:00:00
39,3464129,2695,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2023-04-26T21:20:00
40,3463846,2695,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2023-04-26T20:45:00
41,3463658,2695,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2023-04-26T20:10:00
42,3463387,2695,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2023-04-26T19:35:00
43,3463194,2695,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2023-04-26T19:00:00
45,3462915,2695,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2023-04-26T15:50:00
46,3462827,2695,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2023-04-26T15:55:00
47,3462450,2695,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2023-04-26T15:55:00
48,3462387,2695,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2023-04-26T15:15:00
49,3462305,2695,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2023-04-26T15:55:00
50,3462152,2695,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2023-04-26T15:20:00
51,3461698,2695,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2023-04-26T14:40:00
52,3461686,2695,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2023-04-26T15:20:00
53,3461605,2695,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2023-04-26T15:20:00
54,3461091,2695,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2023-04-26T14:45:00
55,3460882,2695,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2023-04-26T14:45:00
56,3460880,2695,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2023-04-26T14:45:00
57,3460779,2695,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2023-04-26T14:05:00
