,iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
1,4599144,2717,TTEWTEAM--------------GP0100030000--------,,Women's Team,OFFICIAL,,,2023-09-02T13:30:00
2,4599142,2717,TTEWTEAM--------------GP0100020000--------,,Women's Team,OFFICIAL,,,2023-09-02T11:15:00
3,4599138,2717,TTEWTEAM--------------GP0100010000--------,,Women's Team,OFFICIAL,,,2023-09-02T09:00:00
4,4599136,2717,TTEMTEAM--------------GP0100060000--------,,Men's Team,OFFICIAL,,,2023-09-02T13:30:00
5,4599131,2717,TTEMTEAM--------------GP0100050000--------,,Men's Team,OFFICIAL,,,2023-09-02T13:30:00
6,4599129,2717,TTEMTEAM--------------GP0100040000--------,,Men's Team,OFFICIAL,,,2023-09-02T11:15:00
7,4599125,2717,TTEMTEAM--------------GP0100030000--------,,Men's Team,OFFICIAL,,,2023-09-02T11:15:00
8,4599123,2717,TTEMTEAM--------------GP0100020000--------,,Men's Team,OFFICIAL,,,2023-09-02T09:00:00
9,4599118,2717,TTEMTEAM--------------GP0100010000--------,,Men's Team,OFFICIAL,,,2023-09-02T09:00:00
