,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,3243794,2704,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2023-04-01T17:45:00
1,3242637,2704,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-04-01T17:10:00
4,3236240,2704,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2023-04-01T12:45:00
5,3234655,2704,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2023-04-01T12:10:00
6,3232751,2704,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-04-01T11:35:00
7,3231741,2704,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-04-01T11:00:00
9,3226345,2704,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2023-03-31T19:05:00
10,3224967,2704,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2023-03-31T18:30:00
11,3223954,2704,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2023-03-31T17:55:00
12,3223141,2704,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-03-31T17:20:00
17,3218937,2704,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2023-03-31T12:55:00
18,3217057,2704,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2023-03-31T12:20:00
19,3215233,2704,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-03-31T11:45:00
20,3213679,2704,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2023-03-31T11:10:00
23,3210749,2704,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-03-30T18:55:00
24,3210689,2704,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2023-03-30T18:55:00
25,3210504,2704,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2023-03-30T18:55:00
26,3210477,2704,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-03-30T18:55:00
27,3210159,2704,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-03-30T18:20:00
28,3209989,2704,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-03-30T18:20:00
29,3209787,2704,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2023-03-30T18:20:00
30,3209427,2704,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-03-30T18:20:00
31,3209282,2704,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2023-03-30T17:45:00
32,3208995,2704,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2023-03-30T17:45:00
33,3208954,2704,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2023-03-30T17:45:00
34,3208897,2704,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2023-03-30T17:45:00
35,3208199,2704,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2023-03-30T17:10:00
36,3208190,2704,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2023-03-30T17:10:00
37,3208152,2704,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2023-03-30T17:10:00
38,3207743,2704,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2023-03-30T17:10:00
47,3205456,2704,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2023-03-30T14:40:00
48,3205393,2704,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2023-03-30T14:40:00
49,3205039,2704,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2023-03-30T14:40:00
50,3205036,2704,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2023-03-30T14:05:00
51,3205008,2704,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2023-03-30T14:05:00
52,3204691,2704,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2023-03-30T14:40:00
53,3204489,2704,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2023-03-30T13:30:00
54,3204224,2704,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2023-03-30T13:30:00
55,3204023,2704,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2023-03-30T14:05:00
56,3203661,2704,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2023-03-30T14:05:00
57,3203342,2704,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2023-03-30T12:55:00
58,3203192,2704,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2023-03-30T13:30:00
59,3203161,2704,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2023-03-30T12:55:00
60,3203028,2704,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2023-03-30T13:30:00
61,3202164,2704,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2023-03-30T12:55:00
62,3202106,2704,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2023-03-30T12:20:00
63,3202072,2704,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2023-03-30T12:20:00
64,3201966,2704,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2023-03-30T12:55:00
65,3201569,2704,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2023-03-30T12:20:00
66,3201397,2704,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2023-03-30T11:45:00
67,3201167,2704,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2023-03-30T12:20:00
68,3200980,2704,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2023-03-30T11:45:00
69,3200641,2704,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2023-03-30T11:45:00
70,3200597,2704,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2023-03-30T11:10:00
71,3200401,2704,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2023-03-30T11:45:00
72,3199978,2704,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2023-03-30T11:10:00
73,3199962,2704,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2023-03-30T11:10:00
74,3199344,2704,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2023-03-30T10:35:00
75,3199277,2704,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2023-03-30T11:10:00
76,3199260,2704,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2023-03-30T10:35:00
77,3199163,2704,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2023-03-30T10:35:00
78,3198545,2704,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2023-03-30T10:35:00
83,3197041,2704,TTEWSINGLES-----------R64-001100----------,,Women Singles,OFFICIAL,,,2023-03-29T11:45:00
84,3196917,2704,TTEMSINGLES-----------R64-003000----------,,Men Singles,OFFICIAL,,,2023-03-29T20:20:00
85,3196847,2704,TTEMSINGLES-----------R64-002800----------,,Men Singles,OFFICIAL,,,2023-03-29T20:20:00
86,3196836,2704,TTEMSINGLES-----------R64-003200----------,,Men Singles,OFFICIAL,,,2023-03-29T20:20:00
87,3196720,2704,TTEMSINGLES-----------R64-003100----------,,Men Singles,OFFICIAL,,,2023-03-29T20:20:00
88,3195917,2704,TTEMSINGLES-----------R64-002700----------,,Men Singles,OFFICIAL,,,2023-03-29T19:45:00
89,3195348,2704,TTEMSINGLES-----------R64-002900----------,,Men Singles,OFFICIAL,,,2023-03-29T20:20:00
90,3195114,2704,TTEMSINGLES-----------R64-002500----------,,Men Singles,OFFICIAL,,,2023-03-29T19:45:00
91,3195050,2704,TTEMSINGLES-----------R64-002600----------,,Men Singles,OFFICIAL,,,2023-03-29T19:45:00
92,3194925,2704,TTEMSINGLES-----------R64-002300----------,,Men Singles,OFFICIAL,,,2023-03-29T19:45:00
93,3194146,2704,TTEMSINGLES-----------R64-002400----------,,Men Singles,OFFICIAL,,,2023-03-29T19:45:00
94,3193886,2704,TTEWSINGLES-----------R64-003100----------,,Women Singles,OFFICIAL,,,2023-03-29T19:10:00
95,3193707,2704,TTEWSINGLES-----------R64-003200----------,,Women Singles,OFFICIAL,,,2023-03-29T19:10:00
96,3193408,2704,TTEWSINGLES-----------R64-002800----------,,Women Singles,OFFICIAL,,,2023-03-29T19:10:00
97,3193403,2704,TTEWSINGLES-----------R64-002900----------,,Women Singles,OFFICIAL,,,2023-03-29T19:10:00
