,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,5824769,2776,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-12-17T19:30:00
2,5822664,2776,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-12-17T14:45:00
3,5822384,2776,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-12-17T14:00:00
8,5819298,2776,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2023-12-16T19:05:00
9,5818637,2776,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-12-16T18:30:00
12,5817676,2776,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-12-16T13:35:00
13,5817436,2776,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2023-12-16T13:00:00
14,5810929,2776,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-12-15T20:40:00
15,5809850,2776,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-12-15T20:05:00
16,5808089,2776,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2023-12-15T19:30:00
17,5806150,2776,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-12-15T18:30:00
18,5803788,2776,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-12-15T14:45:00
19,5803623,2776,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2023-12-15T14:10:00
20,5803457,2776,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-12-15T13:35:00
21,5803175,2776,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2023-12-15T13:00:00
