PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type
,Tabletennis11 Estonian Open,Other Events and Multi Sport Games,39,Estonia,Tallin,europe,northern europe,2019-11-28T00:00:00,2019-12-01T00:00:00,,,,,2284,,,,,,
,30th Southeast Asian Games,Other Events and Multi Sport Games,39,Philippines,Olongapo,asia,south east asia,2019-11-30T00:00:00,2019-12-11T00:00:00,,,,,2285,,,,,,
,Finlandia Open 2019,Other Events and Multi Sport Games,39,Finland,Lohja,europe,northern europe,2019-12-05T00:00:00,2019-12-08T00:00:00,,,,,2286,,,,,,
,"ITTF Para Fa20 Copa Costa Rica, San José",Para Open,54,Costa Rica,San José,americas,central america,2019-12-12T00:00:00,2019-12-14T00:00:00,,,,,2287,,,,,,
,"ITTF World Veterans Tour – Cardiff, Cardiff",World Veterans,44,Wales,Cardiff,europe,northern europe,2019-12-13T00:00:00,2019-12-16T00:00:00,,,,,2288,,,,,,
,"US Open Table Tennis Championships, Fort Worth, Texas",Other Events and Multi Sport Games,39,USA,Texas,americas,northern america,2019-12-17T00:00:00,2019-12-21T00:00:00,,,,,2289,,,,,,
,2019 Asian Junior & Cadet Championships Qualification (West Asia),Continental,36,Jordan,Amman,asia,west asia,2019-03-15T00:00:00,2019-03-17T00:00:00,,,,,2309,,,,,,
,Asian Junior & Cadet Championships Qualification (Middle Asia),Junior & Cadet Championships,13,Iran,Tehran,asia,middle asia,2019-04-11T00:00:00,2019-04-13T00:00:00,,,,,2310,,,,,,
,Asian Junior & Cadet Championships Qualification (South East Asia),Continental,36,Thailand,Bangkok,asia,south east asia,2019-05-08T00:00:00,2019-05-12T00:00:00,,,,,2311,,,,,,
,2019 International Youth Tournament in memory of Dynamo coach A.Shkala,Other Events and Multi Sport Games,39,Belarus,Minsk,europe,eastern europe,2019-05-10T00:00:00,2019-05-12T00:00:00,,,,,2312,,,,,,
,Asian Junior & Cadet Championships Qualification (East Asia),Continental,36,Korea DPR,Pyongyang,asia,east asia,2019-05-18T00:00:00,2019-05-19T00:00:00,,,,,2313,,,,,,
,Balkan Youth Table Tennis Championships,Other Events and Multi Sport Games,39,North Macedonia,Skopje,europe,southern europe,2019-06-12T00:00:00,2019-06-16T00:00:00,,,,,2314,,,,,,
,Balkan Senior Table Tennis Championships,Other Events and Multi Sport Games,39,Montenegro,Podgorica,europe,southern europe,2019-07-31T00:00:00,2019-08-04T00:00:00,,,,,2315,,,,,,
,Pan Am Games,Continental Games,71,Peru,Lima,americas,south america,2019-08-04T00:00:00,2019-08-10T00:00:00,,,,,2316,,,,,,
,41st Flanders International Table Tennis Tournaments 2019,Other Events and Multi Sport Games,39,Belgium,Oostende,europe,western europe,2019-08-16T00:00:00,2019-08-20T00:00:00,,,,,2317,,,,,,
,21st Flanders ITT Ostend Masters 2019,Other Events and Multi Sport Games,39,Belgium,Oostende,europe,western europe,2019-08-17T00:00:00,2019-08-17T00:00:00,,,,,2318,,,,,,
,21st Flanders Youth Cup & 17th Senior Cup 2019,Other Events and Multi Sport Games,39,Belgium,Oostende,europe,western europe,2019-08-19T00:00:00,2019-08-20T00:00:00,,,,,2319,,,,,,
