PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,WTT Youth Star Contender Vila Nova de Gaia 2022,WTT Youth Star Contender,68,Portugal,Vila Nova de Gaia,europe,southern europe,2022-11-23T00:00:00,2022-11-27T00:00:00,,0,,,2583,,,,,,,WTT Youth Series
,WTT Contender Nova Gorica 2022 Presented by I Feel Slovenia,WTT Contender,34,Slovenia,Nova Gorica,europe,southern europe,2022-10-31T00:00:00,2022-11-06T00:00:00,,,,,2589,,,,,,,WTT Series
,2022 ITTF World Youth Championships,World Youth Championships,30,Tunisia,Rades,africa,north africa,2022-12-04T00:00:00,2022-12-11T00:00:00,,,,,2590,,,,,,,
,WTT Star Contender European Summer Series 2022,WTT Star Contender,35,Hungary,Budapest,europe,eastern europe,2022-07-11T00:00:00,2022-07-17T00:00:00,,,,,2591,,,,,,,WTT Series
,WTT Feeder European Summer Series 2022,WTT Feeder,81,Hungary,Budapest,europe,eastern europe,2022-07-18T00:00:00,2022-07-22T00:00:00,,,,,2592,,,,,,,WTT Feeder Series
,WTT Champions European Summer Series 2022,WTT Champions,65,Hungary,Budapest,europe,eastern europe,2022-07-18T00:00:00,2022-07-23T00:00:00,,,,,2593,,,,,,,WTT Series
,Mediterranean Games Oran 2022,Multi-Sport Games,77,Algeria,Oran,africa,north africa,2022-06-25T00:00:00,2022-07-05T00:00:00,,5413,,,2594,,,,,,,
,2022 South East Asian U15&U19 Training Camp,Continental Championships,79,Thailand,Bangkok,asia,south east asia,2022-06-15T00:00:00,2022-06-16T00:00:00,,,,,2596,,,,,,,
,26th Southeast Asian Junior & Cadet Table Tennis Championships,Continental Championships,79,Thailand,Bangkok,asia,south east asia,2022-06-17T00:00:00,2022-06-22T00:00:00,,,,,2597,,,,,,,
,12th South East Asian Table Tennis Championships,Continental Championships,79,Thailand,Bangkok,asia,south east asia,2022-06-23T00:00:00,2022-06-28T00:00:00,,,,,2598,,,,,,,
,26th Asian Junior and Cadet Table Tennis Championships Qualifying Tournament (West Asia),Continental Championships,79,Bahrain,Manama,asia,west asia,2022-06-23T00:00:00,2022-06-26T00:00:00,,,,,2599,,,,,,,
,National Team West Asia Championships,Continental Championships,79,Jordan,Amman,asia,west asia,2022-07-26T00:00:00,2022-07-31T00:00:00,,,,,2600,,,,,,,
,West Asia Club Championships,Continental Championships,79,Jordan,Amman,asia,west asia,2022-07-01T00:00:00,2022-07-05T00:00:00,,,,,2601,,,,,,,
https://asia.ittf.com/pages/28/2022%20asian%20junior%20&%20cadet%20championships_2055,26th Asian Junior & Cadet Championships,Youth Continental Championships,87,Laos,Vientiane,asia,south east asia,2022-08-31T18:00:00,2022-09-05T18:00:00,,5450,,,2602,,,,,,,
,WTT Contender Muscat 2022,WTT Contender,34,Oman,Muscat,asia,west asia,2022-09-05T00:00:00,2022-09-10T00:00:00,,,,,2605,,,,,,,WTT Series
,WTT Contender Almaty 2022,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2022-09-13T00:00:00,2022-09-18T00:00:00,,,,,2606,,,,,,,WTT Series
,2022 African Youth Championships,Youth Continental Championships,87,Tunisia,Rades,africa,north africa,2022-07-21T00:00:00,2022-07-27T00:00:00,,5418,,,2607,,,,,,,
,2022 South American Championships,ITTF International Open,80,Colombia,Pereira,americas,south america,2022-07-21T00:00:00,2022-07-27T00:00:00,,5404,,,2608,,,,,,,
,2022 ITTF-Africa Senior Championships,Continental Championships,79,Algeria,,africa,north africa,2022-09-03T00:00:00,2022-09-09T00:00:00,,,,,2609,,,,,,,
,WTT Youth Star Contender Podgorica 2022,WTT Youth Star Contender,68,Montenegro,Podgorica,europe,southern europe,2022-10-05T00:00:00,2022-10-09T00:00:00,,0,,,2610,,,,,,,WTT Youth Series
,2022 ITTF Pan American Championships,Continental Championships,79,Chile,Santiago,americas,south america,2022-10-31T00:00:00,2022-11-06T00:00:00,,,,,2611,,,,,,,
,2022 European Youth Championships,Youth Continental Championships,87,Serbia,Belgrade,europe,southern europe,2022-07-06T00:00:00,2022-07-15T00:00:00,,5437,,,2612,,,,,,,
,2022 Pan American Youth Championships (U19),Youth Continental Championships,87,Argentina,Rosario,americas,south america,2022-08-02T00:00:00,2022-08-07T00:00:00,,5414,,,2613,,,,,,,
,2022 Commonwealth Games,Multi-Sport Games,77,England,Birmingham,europe,northern europe,2022-07-28T00:00:00,2022-08-07T00:00:00,,5364,,,2614,,,,,,,
