eventId,documentCode,gameScores,resultsGameScores
2603,TTEWSINGLES-----------8FNL000200----------,"2-11,8-11,8-11,9-11,0-0,0-0,0-0","2-11,8-11,8-11,9-11"
2603,TTEMSINGLES-----------FNL-000100----------,"11-7,9-11,9-11,8-11,8-11,0-0,0-0","11-7,9-11,9-11,8-11,8-11"
2603,TTEWSINGLES-----------8FNL000100----------,"12-10,12-10,11-8,11-3,0-0,0-0,0-0","12-10,12-10,11-8,11-3"
2603,TTEMSINGLES-----------R64-001100----------,"12-10,9-11,6-11,7-11,11-8,10-12,0-0","12-10,9-11,6-11,7-11,11-8,10-12"
2603,TTEMSINGLES-----------QFNL000200----------,"4-11,7-11,5-11,6-11,0-0,0-0,0-0","4-11,7-11,5-11,6-11"
2603,TTEMSINGLES-----------R64-002400----------,"6-11,14-12,6-11,6-11,2-11,0-0,0-0","6-11,14-12,6-11,6-11,2-11"
2603,TTEMSINGLES-----------R32-001600----------,"5-11,5-11,11-9,6-11,3-11,0-0,0-0","5-11,5-11,11-9,6-11,3-11"
2603,TTEMSINGLES-----------R64-003200----------,"6-11,4-11,7-11,2-11,0-0,0-0,0-0","6-11,4-11,7-11,2-11"
2603,TTEWSINGLES-----------R32-001200----------,"11-13,5-11,8-11,9-11,0-0,0-0,0-0","11-13,5-11,8-11,9-11"
2603,TTEMSINGLES-----------R32-000200----------,"13-11,11-5,8-11,11-6,11-7,0-0,0-0","13-11,11-5,8-11,11-6,11-7"
2603,TTEMSINGLES-----------SFNL000200----------,"8-11,6-11,7-11,5-11,0-0,0-0,0-0","8-11,6-11,7-11,5-11"
2603,TTEWSINGLES-----------R32-000500----------,"9-11,7-11,12-10,14-12,11-8,11-7,0-0","9-11,7-11,12-10,14-12,11-8,11-7"
2603,TTEMSINGLES-----------R32-001200----------,"4-11,9-11,9-11,6-11,0-0,0-0,0-0","4-11,9-11,9-11,6-11"
2603,TTEMSINGLES-----------R64-002000----------,"3-11,7-11,3-11,5-11,0-0,0-0,0-0","3-11,7-11,3-11,5-11"
2603,TTEWSINGLES-----------R64-002800----------,"4-11,3-11,4-11,8-11,0-0,0-0,0-0","4-11,3-11,4-11,8-11"
2603,TTEWSINGLES-----------R32-001300----------,"12-14,11-5,12-10,14-12,11-4,0-0,0-0","12-14,11-5,12-10,14-12,11-4"
2603,TTEWSINGLES-----------R64-001000----------,"7-11,8-11,9-11,5-11,0-0,0-0,0-0","7-11,8-11,9-11,5-11"
2603,TTEMSINGLES-----------R64-001700----------,"11-8,11-8,11-6,11-8,0-0,0-0,0-0","11-8,11-8,11-6,11-8"
2603,TTEMSINGLES-----------R32-000700----------,"11-9,11-3,11-6,11-9,0-0,0-0,0-0","11-9,11-3,11-6,11-9"
2603,TTEMSINGLES-----------R32-000600----------,"11-9,4-11,11-8,7-11,3-11,5-11,0-0","11-9,4-11,11-8,7-11,3-11,5-11"
2603,TTEMSINGLES-----------R32-001000----------,"4-11,8-11,9-11,13-11,3-11,0-0,0-0","4-11,8-11,9-11,13-11,3-11"
2603,TTEWSINGLES-----------8FNL000500----------,"11-2,11-8,11-4,15-13,0-0,0-0,0-0","11-2,11-8,11-4,15-13"
2603,TTEWSINGLES-----------R64-001300----------,"11-1,11-3,11-3,11-5,0-0,0-0,0-0","11-1,11-3,11-3,11-5"
2603,TTEMSINGLES-----------R64-000500----------,"11-6,11-6,7-11,11-5,11-8,0-0,0-0","11-6,11-6,7-11,11-5,11-8"
2603,TTEWSINGLES-----------R128001500----------,"11-6,9-11,11-9,11-3,11-8,0-0,0-0","11-6,9-11,11-9,11-3,11-8"
