iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
4901930,2787,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2023-09-17T18:30:00
4901537,2787,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-09-17T18:00:00
4896644,2787,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2023-09-17T11:30:00
4895711,2787,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2023-09-17T11:00:00
4895210,2787,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-09-17T10:30:00
4894642,2787,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-09-17T10:00:00
4878161,2787,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2023-09-16T20:30:00
4877457,2787,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2023-09-16T19:00:00
4877384,2787,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2023-09-16T20:00:00
4876060,2787,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2023-09-16T18:20:00
4875689,2787,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2023-09-16T18:20:00
4874943,2787,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2023-09-16T19:00:00
4874828,2787,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2023-09-16T17:40:00
4874353,2787,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-09-16T17:40:00
4873762,2787,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2023-09-16T17:00:00
4873643,2787,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-09-16T17:00:00
4872549,2787,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2023-09-16T16:30:00
4872136,2787,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2023-09-16T16:30:00
4871166,2787,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2023-09-16T16:00:00
4870913,2787,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2023-09-16T16:00:00
4866556,2787,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4866460,2787,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4866090,2787,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865980,2787,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865934,2787,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865784,2787,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865779,2787,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865336,2787,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2023-09-16T11:50:00
4865014,2787,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864786,2787,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864650,2787,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864627,2787,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864612,2787,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864603,2787,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864594,2787,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864586,2787,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-09-16T11:10:00
4864390,2787,TTEMDOUBLES-----------QFNL000400----------,,Men Doubles,OFFICIAL,,,2023-09-16T10:40:00
4863984,2787,TTEMDOUBLES-----------QFNL000300----------,,Men Doubles,OFFICIAL,,,2023-09-16T10:40:00
4863959,2787,TTEMDOUBLES-----------QFNL000200----------,,Men Doubles,OFFICIAL,,,2023-09-16T10:40:00
4863430,2787,TTEMDOUBLES-----------QFNL000100----------,,Men Doubles,OFFICIAL,,,2023-09-16T10:40:00
4863097,2787,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2023-09-16T10:00:00
4862652,2787,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2023-09-16T10:00:00
4862359,2787,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2023-09-16T10:00:00
4862019,2787,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2023-09-16T10:00:00
4847271,2787,TTEMDOUBLES-----------8FNL000200----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
4847244,2787,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2023-09-15T21:30:00
4846391,2787,TTEWDOUBLES-----------8FNL000200----------,,Women Doubles,OFFICIAL,,,2023-09-15T20:00:00
4846385,2787,TTEMDOUBLES-----------8FNL000800----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
4846250,2787,TTEMDOUBLES-----------8FNL000300----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
4846009,2787,TTEMDOUBLES-----------8FNL000100----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
4845824,2787,TTEMDOUBLES-----------8FNL000500----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
4845693,2787,TTEMDOUBLES-----------8FNL000700----------,,Men Doubles,OFFICIAL,,,2023-09-15T20:30:00
