playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),MatchWinRate (Overall),TotalSetsWon (Overall),TotalSetsLost (Overall),TotalSetsPlayed (Overall),SetWinRate (Overall),TotalPointsWon (Overall),TotalPointsLost (Overall),TotalPointsPlayed (Overall),PointWinRate (Overall)
213286,16,5,21,76.19,52,24,76,68.42,766,592,1358,56.41
213334,0,1,1,0.0,0,3,3,0.0,9,33,42,21.43
213376,0,1,1,0.0,0,3,3,0.0,24,33,57,42.11
213377,1,1,2,50.0,5,3,8,62.5,71,56,127,55.91
213477,0,1,1,0.0,1,3,4,25.0,28,44,72,38.89
213478,1,1,2,50.0,3,5,8,37.5,66,86,152,43.42
213549,0,1,1,0.0,0,3,3,0.0,18,33,51,35.29
220353,1,2,3,33.33,7,6,13,53.85,109,116,225,48.44
220410,0,2,2,0.0,0,6,6,0.0,42,66,108,38.89
220411,0,2,2,0.0,1,6,7,14.29,53,72,125,42.4
220434,1,1,2,50.0,4,5,9,44.44,80,80,160,50.0
220446,7,2,9,77.78,23,10,33,69.7,336,258,594,56.57
220489,0,1,1,0.0,0,3,3,0.0,19,33,52,36.54
220491,1,1,2,50.0,4,4,8,50.0,77,73,150,51.33
220525,0,1,1,0.0,0,3,3,0.0,11,33,44,25.0
220567,0,1,1,0.0,2,3,5,40.0,52,51,103,50.49
220568,1,1,2,50.0,3,4,7,42.86,59,69,128,46.09
220604,0,2,2,0.0,3,6,9,33.33,79,90,169,46.75
220606,0,2,2,0.0,0,6,6,0.0,48,68,116,41.38
220717,0,2,2,0.0,4,6,10,40.0,97,91,188,51.6
221210,0,3,3,0.0,0,9,9,0.0,40,99,139,28.78
221420,2,1,3,66.67,6,4,10,60.0,92,91,183,50.27
221452,1,2,3,33.33,6,7,13,46.15,118,124,242,48.76
221517,3,2,5,60.0,9,8,17,52.94,148,149,297,49.83
221518,0,3,3,0.0,0,9,9,0.0,34,99,133,25.56
221535,0,1,1,0.0,0,3,3,0.0,9,33,42,21.43
221607,0,2,2,0.0,1,6,7,14.29,49,76,125,39.2
221664,0,1,1,0.0,1,3,4,25.0,30,43,73,41.1
221705,5,3,8,62.5,17,15,32,53.12,281,280,561,50.09
221708,3,1,4,75.0,9,6,15,60.0,131,113,244,53.69
221733,0,4,4,0.0,1,12,13,7.69,86,143,229,37.55
221753,0,2,2,0.0,1,6,7,14.29,48,74,122,39.34
221834,0,1,1,0.0,0,3,3,0.0,9,33,42,21.43
221863,0,2,2,0.0,0,6,6,0.0,22,66,88,25.0
221906,0,2,2,0.0,0,6,6,0.0,25,66,91,27.47
221908,1,1,2,50.0,3,3,6,50.0,56,57,113,49.56
221989,0,2,2,0.0,0,6,6,0.0,36,66,102,35.29
222011,2,1,3,66.67,6,4,10,60.0,94,94,188,50.0
222014,1,2,3,33.33,4,6,10,40.0,85,97,182,46.7
222052,9,3,12,75.0,30,11,41,73.17,413,331,744,55.51
222176,0,3,3,0.0,2,9,11,18.18,76,113,189,40.21
222184,3,1,4,75.0,9,7,16,56.25,149,120,269,55.39
222235,1,1,2,50.0,3,5,8,37.5,63,81,144,43.75
222250,0,1,1,0.0,1,3,4,25.0,36,41,77,46.75
222286,0,5,5,0.0,0,15,15,0.0,59,165,224,26.34
222365,0,1,1,0.0,0,3,3,0.0,15,33,48,31.25
222391,0,1,1,0.0,0,3,3,0.0,13,33,46,28.26
222625,2,1,3,66.67,7,7,14,50.0,132,139,271,48.71
223297,0,2,2,0.0,0,6,6,0.0,28,66,94,29.79
