playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),MatchWinRate (Overall),TotalSetsWon (Overall),TotalSetsLost (Overall),TotalSetsPlayed (Overall),SetWinRate (Overall),TotalPointsWon (Overall),TotalPointsLost (Overall),TotalPointsPlayed (Overall),PointWinRate (Overall)
209121,1,3,4,25.0,4,11,15,26.67,78,146,224,34.82
209138,0,1,1,0.0,0,3,3,0.0,22,34,56,39.29
209139,1,1,2,50.0,3,3,6,50.0,57,48,105,54.29
209332,0,3,3,0.0,0,9,9,0.0,29,99,128,22.66
209429,0,1,1,0.0,0,3,3,0.0,13,33,46,28.26
209433,0,1,1,0.0,0,3,3,0.0,23,33,56,41.07
209464,2,1,3,66.67,8,6,14,57.14,133,127,260,51.15
209548,2,12,14,14.29,16,44,60,26.67,413,620,1033,39.98
209603,0,1,1,0.0,0,3,3,0.0,11,33,44,25.0
209631,0,1,1,0.0,2,3,5,40.0,43,44,87,49.43
209633,1,1,2,50.0,3,4,7,42.86,61,60,121,50.41
209660,1,2,3,33.33,3,7,10,30.0,61,99,160,38.12
209663,2,1,3,66.67,6,5,11,54.55,103,108,211,48.82
209711,0,2,2,0.0,0,6,6,0.0,42,66,108,38.89
209781,0,1,1,0.0,0,3,3,0.0,12,33,45,26.67
209805,1,1,2,50.0,4,3,7,57.14,77,62,139,55.4
209843,0,1,1,0.0,1,3,4,25.0,28,37,65,43.08
209954,3,1,4,75.0,9,4,13,69.23,124,114,238,52.1
209955,7,3,10,70.0,23,11,34,67.65,340,280,620,54.84
209975,0,1,1,0.0,2,3,5,40.0,49,52,101,48.51
210212,1,1,2,50.0,3,5,8,37.5,65,76,141,46.1
210239,2,2,4,50.0,6,9,15,40.0,135,149,284,47.54
210318,5,1,6,83.33,16,8,24,66.67,252,187,439,57.4
210319,2,2,4,50.0,6,6,12,50.0,91,92,183,49.73
210320,2,1,3,66.67,7,5,12,58.33,108,97,205,52.68
210321,3,1,4,75.0,11,6,17,64.71,163,142,305,53.44
210322,0,1,1,0.0,0,3,3,0.0,21,33,54,38.89
210501,0,2,2,0.0,2,6,8,25.0,55,81,136,40.44
210821,0,1,1,0.0,0,3,3,0.0,9,33,42,21.43
210877,2,2,4,50.0,7,7,14,50.0,122,123,245,49.8
211031,2,2,4,50.0,9,8,17,52.94,164,158,322,50.93
211037,6,4,10,60.0,21,15,36,58.33,348,324,672,51.79
211164,1,2,3,33.33,5,7,12,41.67,116,119,235,49.36
211165,0,3,3,0.0,0,9,9,0.0,45,99,144,31.25
211201,0,1,1,0.0,0,3,3,0.0,15,33,48,31.25
211408,2,3,5,40.0,11,11,22,50.0,198,196,394,50.25
211409,0,1,1,0.0,1,3,4,25.0,37,47,84,44.05
211410,4,2,6,66.67,14,9,23,60.87,225,189,414,54.35
211452,0,3,3,0.0,0,9,9,0.0,42,100,142,29.58
211653,1,1,2,50.0,3,3,6,50.0,50,56,106,47.17
211655,0,1,1,0.0,0,3,3,0.0,24,34,58,41.38
211656,2,1,3,66.67,6,4,10,60.0,93,93,186,50.0
211660,1,1,2,50.0,3,3,6,50.0,45,56,101,44.55
211709,1,1,2,50.0,3,3,6,50.0,43,46,89,48.31
211710,0,1,1,0.0,0,3,3,0.0,22,36,58,37.93
211733,0,1,1,0.0,0,3,3,0.0,23,33,56,41.07
211735,0,1,1,0.0,0,3,3,0.0,13,33,46,28.26
211738,2,1,3,66.67,6,3,9,66.67,79,73,152,51.97
211740,0,1,1,0.0,0,3,3,0.0,11,33,44,25.0
211742,1,1,2,50.0,3,3,6,50.0,56,33,89,62.92
211745,0,1,1,0.0,0,3,3,0.0,10,33,43,23.26
211746,0,1,1,0.0,0,3,3,0.0,23,33,56,41.07
211747,0,1,1,0.0,1,3,4,25.0,30,39,69,43.48
211748,0,1,1,0.0,1,3,4,25.0,28,41,69,40.58
211750,0,1,1,0.0,1,3,4,25.0,23,42,65,35.38
211751,1,1,2,50.0,3,4,7,42.86,56,61,117,47.86
211753,0,1,1,0.0,1,3,4,25.0,25,40,65,38.46
211754,0,1,1,0.0,1,3,4,25.0,32,40,72,44.44
211760,2,1,3,66.67,6,5,11,54.55,102,103,205,49.76
211761,1,1,2,50.0,3,4,7,42.86,55,73,128,42.97
211762,1,1,2,50.0,4,4,8,50.0,70,64,134,52.24
211763,0,1,1,0.0,0,3,3,0.0,13,33,46,28.26
211779,0,1,1,0.0,0,3,3,0.0,0,33,33,0.0
211781,0,1,1,0.0,1,3,4,25.0,40,45,85,47.06
211924,0,3,3,0.0,0,9,9,0.0,45,99,144,31.25
211982,0,1,1,0.0,0,3,3,0.0,9,33,42,21.43
