iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
11241074,3092,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2025-06-29T16:15:00
11240850,3092,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2025-06-29T15:30:00
11240555,3092,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2025-06-29T14:45:00
11240262,3092,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2025-06-29T14:00:00
11240007,3092,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2025-06-28T19:50:00
11239845,3092,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2025-06-28T19:15:00
11239576,3092,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2025-06-28T18:40:00
11239437,3092,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2025-06-28T18:05:00
11239146,3092,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2025-06-28T17:30:00
11238975,3092,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2025-06-28T13:55:00
11238801,3092,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2025-06-28T13:55:00
11238764,3092,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2025-06-28T13:20:00
11238425,3092,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2025-06-28T13:20:00
11238263,3092,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2025-06-28T12:45:00
11238133,3092,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2025-06-28T12:45:00
11237781,3092,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2025-06-28T12:10:00
11237724,3092,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2025-06-28T12:10:00
11237364,3092,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2025-06-28T11:35:00
11237330,3092,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2025-06-28T11:35:00
11236913,3092,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2025-06-28T11:00:00
11236860,3092,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2025-06-28T11:00:00
